#Note: the line starts with '#' will be ignored!!!,,,,,,
#Enums Start....,hkjc.cap.ida.football.entity.enumcode.,,,,,
enumcode.operational.fbadmin,BetradarTournamentType,CUP,Cup,,0,
enumcode.operational.fbadmin,BetradarTournamentType,INTERNATIONAL,International,,0,
enumcode.operational.fbadmin,BetradarTournamentEntityRef,TOURNAMENT,Tournament,,0,
enumcode.operational.fbadmin,BetradarTournamentEntityRef,SUPER_TOURNAMENT,SuperTournament,,0,
enumcode.operational.fbadmin,EntitySource,SBC,SBC,,0,
enumcode.operational.fbadmin,EntitySource,BETRADAR,BR,,0,
enumcode.operational.fbadmin,EntitySource,ADMIN,Admin,,0,0
enumcode.operational.fbadmin,InboundSource,SBC,SBC,,0,
enumcode.operational.fbadmin,InboundSource,BETRADAR,Betradar,,0,
enumcode.operational.fbadmin,InboundSource,FBADMIN,FBAdmin,,0,0
enumcode.operational.fbadmin,MappingStatus,APPROVED,Approved,,0,
enumcode.operational.fbadmin,MappingStatus,RESOLVED,Resolved,,0,
enumcode.operational.fbadmin,MappingStatus,UNRESOLVED,Unresolved,,0,
enumcode.operational.fbadmin,ActionUser,SYSTEM,System,,0,
enumcode.operational.fbadmin,ActionUser,ADMIN,Admin,,0,
enumcode.operational.fbadmin,FileCategory,PRELIM_SCHEDULE,PrelimSchedule,,0,
enumcode.operational.fbadmin,FileCategory,BETRADAR_SUPER_TOURNAMENT,BetradarSuperTournament,,0,
enumcode.operational.fbadmin,FileCategory,BETRADAR_TOURNAMENT,BetradarTournament,,0,
enumcode.operational.fbadmin,FileCategory,BETRADAR_TEAM,BetradarTeam,,0,
enumcode.operational.fbadmin,FileCategory,BETRADAR_PLAYER,BetradarPlayer,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_MAPPING,UpdateMatchMapping,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_TEAM_MAPPING,UpdateTeamMapping,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_LEAGUE_MAPPING,UpdateLeagueMapping,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_TEAM_BATCH,UpdateTeamBatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_PLAYER_BATCH,UpdatePlayerBatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_LEAGUE_BATCH,UpdateLeagueBatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_FBADMIN_CONFIG,UpdateFBAdminConfig,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_DETAIL,UpdateMatchDetail,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_ILC_MATCH,UpdateILCMatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_BR_RESULT_DETAIL,UpdateBetRadarResultDetail,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_RETENTION,UpdateMatchRetention,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_SPECIAl,UpdateMatchSpecial,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_REMARK_PATTERN,UpdateRemarkPattern,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_REMARK_REASON,UpdateRemarkReason,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_REMARK_TEMPLATE,UpdateRemarkTemplate,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_REMARK,UpdateMatchRemark,,0,
enumcode.operational.fbadmin,ToInboundMessageType,DELETE_SCROLLING_MSG_MGMT_FB,DeleteScrollingMsgMgmtFB,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_SCROLLING_MSG_MGMT_FB,UpdateScrollingMsgMgmtFB,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_NEUTRAL_MATCH,UpdateNeutralMatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_LOSE_RESULT,UpdateSPCLoseResult,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_PARIMUTUEL_POOLCONFIG,UpdatePariMutuelPoolConfig,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_TV_BATCH,UpdateMatchTVBatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_TV_NEUTRAL_GROUND_BATCH,UpdateMatchTVNeutralGroundBatch,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_MATCH_TV,UpdateMatchTV,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_TV_CHANNEL_CODE,UpdateTVChannelCode,,0,
enumcode.operational.fbadmin,ToInboundMessageType,UPDATE_REF_DISSEMINATION,UpdateRefDissemination,,0,

enumcode.profile,MediaProviderType,MOBILETV,MobileTV,,0,
enumcode.profile,MediaProviderType,WEBTV,WebTV,,0,
enumcode.reference,ResourceLookupCategory,SEASON,1,betradar.Season.seasonNameID,0,
enumcode.reference,ResourceLookupCategory,BETRADAR_CATEGORY,2,betradar.Category.categoryNameID,0,
enumcode.reference,ResourceLookupCategory,TOURNAMENT,3,event.Tournament.tournamentNameID,0,
enumcode.reference,ResourceLookupCategory,SUPER_TOURNAMENT,4,betradar.SuperTournament.superTournamentNameID,0,
enumcode.reference,ResourceLookupCategory,COUPON,5,wagering.general.Coupon.couponNameID,0,
enumcode.reference,ResourceLookupCategory,GROUP,6,wagering.general.Group.groupNameID,0,
enumcode.reference,ResourceLookupCategory,COUNTRY,7,profile.Country.countryNameID/betradar.Country.countryNameID,0,
enumcode.reference,ResourceLookupCategory,CITY,8,betradar.City.cityNameID,0,
enumcode.reference,ResourceLookupCategory,CUP,9,betradar.Cup.cupNameID,0,
enumcode.reference,ResourceLookupCategory,VENUE,10,betradar.VenueStadium.venueStadiumNameID,0,
enumcode.reference,ResourceLookupCategory,LEAGUE,11,profile.League.leagueNameID,0,
enumcode.reference,ResourceLookupCategory,TEAM,12,profile.Team.teamID,0,
enumcode.reference,ResourceLookupCategory,PLAYER,13,profile.Player.playerID,0,
enumcode.reference,ResourceLookupCategory,TV_CHANNEL,14,profile.TVChannel.tvChannelNameID,0,
enumcode.reference,ResourceLookupCategory,MATCH_REMARK,15,event.MatchRemarks.remarksID/operational.admin.MatchRemarkAssignemnt,0,0
enumcode.reference,ResourceLookupCategory,POOL_SELECTION,16,wagering.general.Selection.selectionNameID,0,
enumcode.reference,ResourceLookupCategory,POOL_ALL_LOSE_DESCRIPTION,17,wagering.general.SPCInfo.allLoseDescriptionID/operational.admin.SpecailLoseResult.allLoseDescriptionID,0,
enumcode.reference,ResourceLookupCategory,POOL_SPC_QUESTION,18,wagering.general.SPCInfo.questionID,0,
enumcode.reference,ResourceLookupCategory,MATCH_PHRASE,19,betradar.Phrase.PhraseTextID,0,
enumcode.reference,ResourceLookupCategory,MATCH_FUNFACT,20,betradar.Funfacts.funfactsTextID,0,
enumcode.reference,ResourceLookupCategory,RESULT_COMMENT,21,betradar.Match.resultCommentID,0,
enumcode.reference,ResourceLookupCategory,RESULT_STATUS_COMMENT,22,betradar.Match.resultStatusCommentID,0,
enumcode.reference,ResourceLookupCategory,MATCH_ROUND_NAME,23,betradar.Match.matchRoundNameID,0,
enumcode.reference,ResourceLookupCategory,POOL_EVENT_NAME,24,wagering.general.Pool.eventNameID,0,
enumcode.reference,ResourceLookupCategory,MATCH_PRE_SCH_AWAY_TEAM_DESC,25,event.MatchPreliminarySchedule.awayTeamDescriptionID,0,
enumcode.reference,ResourceLookupCategory,MATCH_PRE_SCH_HOME_TEAM_DESC,26,event.MatchPreliminarySchedule.homeTeamDescriptionID,0,
enumcode.reference,ResourceLookupCategory,SCROLLING_MESSAGE_DETAIL,27,operational.ScrollingMessage.messageDetailID,0,
enumcode.reference,ResourceLookupCategory,REFEREE_NAME,28,betradar.Referee.refereeNameID,0,
enumcode.reference,LangAndTypeCode,ENGLISH_NORMAL,en,English Normal Name,0,
enumcode.reference,LangAndTypeCode,ENGLISH_FULL,enf,English Full or Long Name,0,
enumcode.reference,LangAndTypeCode,ENGLISH_SHORT,ens,English Short Name,0,
enumcode.reference,LangAndTypeCode,SIMPIFIED_CHINESE_NORMAL,sc,Simplified Chinese Normal Name,0,
enumcode.reference,LangAndTypeCode,SIMPIFIED_CHINESE_FULL,scf,Simplified Chinese Full or Long Name,0,
enumcode.reference,LangAndTypeCode,SIMPIFIED_CHINESE_SHORT,scs,Simplified Chinese Short Name,0,
enumcode.reference,LangAndTypeCode,TRADITIONAL_CHINESE_NORMAL,tc,Traditional Chinese Normal Name,0,
enumcode.reference,LangAndTypeCode,TRADITIONAL_CHINESE_FULL,tcf,Traditional Chinese Full or Long Name,0,
enumcode.reference,LangAndTypeCode,TRADITIONAL_CHINESE_SHORT,tcs,Traditional Chinese Short Name,0,
enumcode.wagering.general,PoolBonusType,BET_TYPE,BetType,for SBC message (611 per pool type),0,
enumcode.wagering.general,PoolBonusType,WAY_OF_BETTING,WayOfBetting,for SBC message (612 per way of betting),0,
enumcode.wagering.general,PoolBonusType,CROSS_POOL,CrossPool,for SBC message (227 cross pool),0,
enumcode.wagering.general,OddsType,FIXED_ODDS,FixedOdds,,0,
enumcode.wagering.general,OddsType,PARI_MUTUEL,PariMutuel,,0,
enumcode.wagering.general,PoolLegType,MATCH,Match,Match,0,
enumcode.wagering.general,PoolLegType,TOURNAMENT,Tournament,Tournament,0,
enumcode.wagering.general,PoolLegType,GROUP,Group,Group,0,
enumcode.wagering.general,PoolLegType,SPECIAL,Special,Special for Match or Tournament SPC pools,0,
enumcode.wagering.general,SellingChannelArea,VBT,VBT,TB Voice Betting,0,
enumcode.wagering.general,SellingChannelArea,ESC,ESC,ESC,0,
enumcode.wagering.general,SellingChannelArea,CBN,CBN,On Course Betting,0,
enumcode.wagering.general,SellingChannelArea,CBF,CBF,Off Course Betting,0,
enumcode.wagering.general,SellingChannelArea,CIT,CIT,CIT,0,
enumcode.wagering.general,SellingChannelArea,WIN,WIN,eWin,0,
enumcode.wagering.general,SellingChannelArea,TSD,TSD,TBASD,0,
enumcode.wagering.general,MinBetValueType,BET_TYPE,BetType,,0,
enumcode.wagering.general,MinBetValueType,ALLUP_BET_TYPE,AllupBetType,,0,
enumcode.wagering.general,MinBetValueType,ODDS_TYPE,OddsType,,0,
enumcode.wagering.general,CombinationSnapshotType,NORMAL_FINAL,NormalFinal,,0,
enumcode.wagering.general,CombinationSnapshotType,INPLAY_FINAL,InplayFinal,,0,
enumcode.betradar,ScoreType,CURRENT,Current,for ScoreRadar,0,
enumcode.betradar,ScoreType,PERIOD_1,Period1,for ScoreRadar,0,
enumcode.betradar,ScoreType,NORMAL_TIME,NormalTime,for ScoreRadar,0,
enumcode.betradar,ScoreType,OVER_TIME,OverTime,for ScoreRadar,0,
enumcode.betradar,ScoreType,EXTRA_1,Extra1,for ScoreRadar,0,
enumcode.betradar,ScoreType,EXTRA_2,Extra2,for ScoreRadar,0,
enumcode.betradar,ScoreType,PENALTIES,Penalties,for ScoreRadar,0,
enumcode.betradar,ScoreType,HT,HT,Half Timefor SportRadar,0,
enumcode.betradar,ScoreType,FT,FT,Full Time for SportRadar,0,
enumcode.betradar,ScoreType,OT,OT,Over Time for SportRadar,0,
enumcode.betradar,ScoreType,AP,AP,Penalty Kick for SportRadar,0,
enumcode.betradar,ScoreType,C,C,Cancelled for BetRadar,0,
enumcode.betradar,ScoreType,UNKNOWN,Unknown,Unknown,0,
enumcode.betradar,ScorePeriod,CURRENT,Current,,0,
enumcode.betradar,ScorePeriod,HALF_TIME,HalfTime,,0,
enumcode.betradar,ScorePeriod,FULL_TIME,FullTime,,0,
enumcode.betradar,ScorePeriod,OVER_TIME,Overtime,,0,
enumcode.betradar,ScorePeriod,FIRST_EXTRA_TIME,FirstExtraTime,,0,
enumcode.betradar,ScorePeriod,SECOND_EXTRA_TIME,SecondExtraTime,,0,
enumcode.betradar,ScorePeriod,PENALTY_KICK,PenaltyKick,,0,
enumcode.betradar,ScorePeriod,UNKNOWN,Unknown,Unknown,0,
enumcode.betradar,ScorePeriodSeq,CURRENT,0,,0,
enumcode.betradar,ScorePeriodSeq,HALF_TIME,1,,0,
enumcode.betradar,ScorePeriodSeq,FULL_TIME,2,,0,
enumcode.betradar,ScorePeriodSeq,OVER_TIME,3,,0,
enumcode.betradar,ScorePeriodSeq,FIRST_EXTRA_TIME,4,,0,
enumcode.betradar,ScorePeriodSeq,SECOND_EXTRA_TIME,5,,0,
enumcode.betradar,ScorePeriodSeq,PENALTY_KICK,6,,0,
enumcode.betradar,ScorePeriodSeq,UNKNOWN,999,Unknown,0,
enumcode.betradar,BetradarTeamAlignmentType,HOME,1,,0,
enumcode.betradar,BetradarTeamAlignmentType,AWAY,2,,0,
enumcode.betradar,PlayerRegularPosition,GOAL_KEEPER,G,GoalKeeper,0,
enumcode.betradar,PlayerRegularPosition,FOWARD,F,Foward,0,
enumcode.betradar,PlayerRegularPosition,DEFENDER,D,Defender,0,
enumcode.betradar,PlayerRegularPosition,MIDFIELDER,M,MidFielder,0,
enumcode.betradar,PlayerRegularPosition,REFEREE,R,Referee,0,
enumcode.betradar,CardType,YELLOW,Yellow,,0,
enumcode.betradar,CardType,RED,Red,,0,
enumcode.betradar,CardType,YELLOW_RED,YellowRed,,0,
enumcode.betradar,DataSource,HKJC,HKJC,,0,
enumcode.betradar,DataSource,BETRADAR,Betradar,,0,
enumcode.betradar,DataSource,SPORTRADAR,Sportradar,,0,
enumcode.betradar,DataSource,SCORERADAR,Scoreradar,,0,
enumcode.betradar,GoalType,PENALTY,Penalty,,0,
enumcode.betradar,GoalType,OWN_GOAL,OwnGoal,,0,
enumcode.betradar,GoalType,HEADING,Heading,,0,
